service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1211-Collier-Weekday-21,1,1,1,1,1,0,0,20121118,20130316
1211-Collier-Saturday-71,0,0,0,0,0,1,0,20121118,20130316
1211-Collier-Sunday-11,0,0,0,0,0,0,1,20121118,20130316
1211-Liberty-Weekday-25,1,1,1,1,1,0,0,20121118,20130316
1211-Liberty-Saturday-73,0,0,0,0,0,1,0,20121118,20130316
1211-Liberty-Sunday-14,0,0,0,0,0,0,1,20121118,20130316
1211-Mifflin-Weekday-25,1,1,1,1,1,0,0,20121118,20130316
1211-Mifflin-Saturday-72,0,0,0,0,0,1,0,20121118,20130316
1211-Mifflin-Sunday-12,0,0,0,0,0,0,1,20121118,20130316
1211-Ross-Weekday-21,1,1,1,1,1,0,0,20121118,20130316
1211-Ross-Saturday-71,0,0,0,0,0,1,0,20121118,20130316
1211-Ross-Sunday-11,0,0,0,0,0,0,1,20121118,20130316
1211-Village-Weekday-22,1,1,1,1,1,0,0,20121118,20130316
1211-Village-Saturday-73,0,0,0,0,0,1,0,20121118,20130316
1211-Village-Sunday-13,0,0,0,0,0,0,1,20121118,20130316
W,1,1,1,1,1,0,0,20121118,20130316
S,0,0,0,0,0,1,0,20121118,20130316
U,0,0,0,0,0,0,1,20121118,20130316
1211-Village-ThanksgivingHoliday-14,0,0,0,1,0,0,0,20121122,20121122
1211-Village-XmasHoliday-13,0,1,0,0,0,0,0,20121225,20121225
1211-Village-NewYearsHoliday-13,0,1,0,0,0,0,0,20130101,20130101
