stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
E00175,,"26TH ST AT PENN AVE FS (SPRING WAY)",,  40.454636, -79.978172,01
E00180,,"28TH ST AT LIBERTY AVE",,  40.456287, -79.974648,01
E00270,,"32ND ST AT SPRING WAY",,  40.460346, -79.969437,01
E00420,,"40TH ST AT BUTLER",,  40.468655, -79.962112,01
E00430,,"40TH ST AT DAVIDSON FS",,  40.467674, -79.960930,01
E00445,,"40TH ST AT GOVERNMENT WAY STEPS",,  40.466148, -79.958977,01
E00500,,"40TH ST OPP DAVIDSON ST",,  40.467587, -79.961075,01
E00750,,"4TH ST AT COREY",,  40.408604, -79.867699,1A
E00910,FIFTHAIKEN,"5TH AVE AT AIKEN AVE",,  40.448528, -79.934105,01
E00920,,"5TH AVE AT AMBERSON AVE",,  40.447750, -79.938744,01
E00950,,"5TH AVE AT BEECHWOOD BLVD",,  40.453480, -79.915596,01
E00970,,"5TH AVE AT BELLEFIELD AVE",,  40.446705, -79.951805,01
E00975,,"5TH AVE AT BELLEFIELD AVE",,  40.446297, -79.952019,01
E00980,,"5TH AVE AT BELLEFONTE ST",,  40.449028, -79.932472,01
E01000,,"5TH AVE AT BIGELOW BLVD (PITT)",,  40.444618, -79.954704,01
E01010,,"5TH AVE AT BIGELOW BLVD (PITT)",,  40.444298, -79.954842,01
E01030,,"5TH AVE AT BIRMINGHAM BRIDGE",,  40.437691, -79.973038,01
E01040,,"5TH AVE AT BRENHAM ST FS",,  40.436478, -79.968582,01
E01050,,"5TH AVE AT CHESTERFIELD RD",,  40.439526, -79.961693,01
E01090,,"5TH AVE AT COLLEGE ST",,  40.451317, -79.925682,01
E01130,,"5TH AVE AT CRAFT AVE (CARLOW UNIV)",,  40.437698, -79.964188,01
E01140,,"5TH AVE AT CRAIG ST",,  40.447079, -79.948853,01
E01150,,"5TH AVE AT CRAIG ST NS",,  40.446796, -79.949501,01
E01180,,"5TH AVE AT DESOTO",,  40.442326, -79.957878,01
E01190,,"5TH AVE AT DINWIDDIE ST",,  40.438400, -79.980576,01
E01210,,"5TH AVE AT MCKEE PL FS",,  40.440632, -79.959846,01
E01225,,"5TH AVE AT HALKET ST",,  40.438953, -79.962128,01
E01230,,"5TH AVE AT HAMILTON",,  40.457436, -79.909042,01
E01260,,"5TH AVE AT HIGHLAND AVE",,  40.451996, -79.923882,01
E01310,,"5TH AVE AT KIRKPATRICK ST FS",,  40.437897, -79.973000,01
E01330,,"5TH AVE AT MAGEE ST",,  40.438744, -79.988106,01
E01335,,"5TH AVE AT MEYRAN AVE",,  40.441101, -79.959198,01
E01350,,"5TH AVE AT MARYLAND AVE",,  40.450615, -79.927361,01
E01360,FIFTHOAKLAND,"5TH AVE AT OAKLAND AVE",,  40.442078, -79.957855,01
E01370,,"5TH AVE OPP MCPHERSON ST FS",,  40.455536, -79.910927,01
E01380,,"5TH AVE AT MCPHERSON ST",,  40.455608, -79.910530,01
E01400,,"5TH AVE AT #2410 (ACTA PROGRAM)",,  40.436768, -79.970268,01
E01410,FIFTHMOREIN,"5TH AVE AT MOREWOOD AVE",,  40.447468, -79.942352,01
E01420,FIFTHMOREOUT,"5TH AVE AT MOREWOOD AVE",,  40.447285, -79.942673,01
E01440,,"5TH AVE AT MOULTRIE ST",,  40.437901, -79.974556,01
E01450,,"5TH AVE AT MOULTRIE ST FS",,  40.438099, -79.974411,01
E01460,FIFTHNEGLEY,"5TH AVE AT NEGLEY AVE",,  40.449886, -79.929588,01
E01470,,"5TH AVE AT NEGLEY AVE",,  40.449722, -79.929703,01
E01480,,"5TH AVE AT NEVILLE ST",,  40.447163, -79.947205,01
E01500,,"5TH AVE AT NEVILLE ST",,  40.446991, -79.947426,01
E01530,,"5TH AVE AT LAMAR MEDIA (#2610)",,  40.437023, -79.965584,01
E01540,,"5TH AVE AT PRIDE ST",,  40.438583, -79.984901,01
E01550,,"5TH AVE AT ROBINSON ST",,  40.437656, -79.965225,01
E01560,,"5TH AVE AT MAURICE ST",,  40.437412, -79.965355,01
E01570,,"5TH AVE AT #2358",,  40.437054, -79.971138,01
E01640,,"5TH AVE AT SENECA ST",,  40.438023, -79.976036,01
E01650,,"5TH AVE AT SHADY AVE",,  40.452953, -79.920670,01
E01660,,"5TH AVE AT SHADY AVE",,  40.452812, -79.920807,01
E01700,,"5TH AVE AT STEVENSON ST",,  40.438652, -79.986320,01
E01710,,"5TH AVE AT TENNYSON AVE",,  40.445675, -79.953224,01
E01720,,"5TH AVE OPP TENNYSON AVE",,  40.445488, -79.953133,01
E01730,,"5TH AVE AT THACKERAY AVE",,  40.443260, -79.956444,01
E01760,,"5TH AVE AT THOMAS BLVD",,  40.454731, -79.911484,01
E01810,,"5TH AVE AT WASHINGTON PL",,  40.438843, -79.990723,01
E01820,,"5TH AVE AT WILKINS AVE FS",,  40.447739, -79.936974,01
E01840,,"5TH AVE AT WYANDOTTE ST",,  40.438259, -79.977356,01
E01860,,"5TH AVE OPP AMBERSON AVE",,  40.447533, -79.939102,01
E01870,FIFTHATWOOD,"5TH AVE OPP ATWOOD ST",,  40.441803, -79.958488,01
E01890,,"5TH AVE OPP BEECHWOOD BLVD",,  40.453712, -79.915230,01
E01900,,"5TH AVE OPP BELLEFONTE ST",,  40.448788, -79.932564,01
E01910,,"5TH AVE OPP BRENHAM ST",,  40.436340, -79.968605,01
E01920,,"5TH AVE OPP CLYDE ST",,  40.447090, -79.945374,01
E01930,,"5TH AVE OPP COLLEGE ST",,  40.451088, -79.925842,01
