route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-142,1211-Collier-Weekday-21,6865683-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070173,0200016
020-142,1211-Collier-Weekday-21,6865684-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070170,0200016
020-142,1211-Collier-Weekday-21,6865685-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070176,0200016
020-142,1211-Collier-Weekday-21,6865686-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070195,0200016
020-142,1211-Collier-Weekday-21,6865687-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070171,0200016
020-142,1211-Collier-Weekday-21,6865688-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070168,0200016
020-142,1211-Collier-Weekday-21,6865689-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070175,0200016
020-142,1211-Collier-Weekday-21,6865690-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070176,0200016
020-142,1211-Collier-Weekday-21,6865691-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070418,0200016
020-142,1211-Collier-Weekday-21,6865692-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070150,0200016
020-142,1211-Collier-Weekday-21,6865693-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070275,0200016
020-142,1211-Collier-Weekday-21,6865694-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070313,0200016
020-142,1211-Collier-Weekday-21,6865695-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070193,0200016
020-142,1211-Collier-Weekday-21,6865696-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070277,0200016
020-142,1211-Collier-Weekday-21,6865697-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070174,0200016
020-142,1211-Collier-Weekday-21,6865698-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070313,0200016
020-142,1211-Collier-Weekday-21,6865699-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070172,0200016
020-142,1211-Collier-Weekday-21,6865700-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070303,0200016
020-142,1211-Collier-Weekday-21,6865701-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070174,0200016
020-142,1211-Collier-Weekday-21,6865702-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070277,0200016
020-142,1211-Collier-Weekday-21,6865703-1211-Collier-Weekday-21,Inbound-KENNEDY TO HERBST ROAD,1,1070174,0200016
020-142,1211-Collier-Weekday-21,6865704-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070173,0200018
020-142,1211-Collier-Weekday-21,6865705-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070170,0200018
020-142,1211-Collier-Weekday-21,6865706-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070176,0200018
020-142,1211-Collier-Weekday-21,6865707-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070195,0200018
020-142,1211-Collier-Weekday-21,6865708-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070171,0200018
020-142,1211-Collier-Weekday-21,6865709-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070168,0200018
020-142,1211-Collier-Weekday-21,6865710-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070175,0200018
020-142,1211-Collier-Weekday-21,6865711-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070176,0200018
020-142,1211-Collier-Weekday-21,6865712-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070418,0200018
020-142,1211-Collier-Weekday-21,6865713-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070150,0200018
020-142,1211-Collier-Weekday-21,6865714-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070275,0200018
020-142,1211-Collier-Weekday-21,6865715-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070313,0200018
020-142,1211-Collier-Weekday-21,6865716-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070193,0200018
020-142,1211-Collier-Weekday-21,6865717-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070277,0200018
020-142,1211-Collier-Weekday-21,6865718-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070174,0200018
020-142,1211-Collier-Weekday-21,6865719-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070313,0200018
020-142,1211-Collier-Weekday-21,6865720-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070172,0200018
020-142,1211-Collier-Weekday-21,6865721-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070303,0200018
020-142,1211-Collier-Weekday-21,6865722-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070174,0200018
020-142,1211-Collier-Weekday-21,6865723-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070277,0200018
020-142,1211-Collier-Weekday-21,6865724-1211-Collier-Weekday-21,Outbound-KENNEDY TO HERBST ROAD,0,1070174,0200018
021-142,1211-Collier-Weekday-21,6865725-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070101,0210025
021-142,1211-Collier-Weekday-21,6865726-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070102,0210025
021-142,1211-Collier-Weekday-21,6865727-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070103,0210025
021-142,1211-Collier-Weekday-21,6865728-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070104,0210025
021-142,1211-Collier-Weekday-21,6865729-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070105,0210025
021-142,1211-Collier-Weekday-21,6865730-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070106,0210025
021-142,1211-Collier-Weekday-21,6865731-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070101,0210025
021-142,1211-Collier-Weekday-21,6865732-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070102,0210025
021-142,1211-Collier-Weekday-21,6865733-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070103,0210025
021-142,1211-Collier-Weekday-21,6865734-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070104,0210025
021-142,1211-Collier-Weekday-21,6865735-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070283,0210025
021-142,1211-Collier-Weekday-21,6865736-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070288,0210025
021-142,1211-Collier-Weekday-21,6865737-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070291,0210025
021-142,1211-Collier-Weekday-21,6865738-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070287,0210025
021-142,1211-Collier-Weekday-21,6865739-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070291,0210025
021-142,1211-Collier-Weekday-21,6865740-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070289,0210025
021-142,1211-Collier-Weekday-21,6865741-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070115,0210025
021-142,1211-Collier-Weekday-21,6865742-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070107,0210025
021-142,1211-Collier-Weekday-21,6865743-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070290,0210025
021-142,1211-Collier-Weekday-21,6865744-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070108,0210025
021-142,1211-Collier-Weekday-21,6865745-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070109,0210025
021-142,1211-Collier-Weekday-21,6865746-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070293,0210025
021-142,1211-Collier-Weekday-21,6865747-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070115,0210025
021-142,1211-Collier-Weekday-21,6865748-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070107,0210025
021-142,1211-Collier-Weekday-21,6865749-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070290,0210025
021-142,1211-Collier-Weekday-21,6865750-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070108,0210025
021-142,1211-Collier-Weekday-21,6865751-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070293,0210025
021-142,1211-Collier-Weekday-21,6865752-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070296,0210025
021-142,1211-Collier-Weekday-21,6865753-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070300,0210025
021-142,1211-Collier-Weekday-21,6865754-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070296,0210025
021-142,1211-Collier-Weekday-21,6865755-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070426,0210025
021-142,1211-Collier-Weekday-21,6865756-1211-Collier-Weekday-21,Inbound-CORAOPOLIS TO DOWNTOWN,1,1070299,0210025
